"Kód obce";PSČ;"Doručovacia pošta";"platné od";"platné do"
582522;93052;Blahová;2010-01-01;
501492;93032;"Blatná na Ostrove";2010-01-01;
501956;93032;"Blatná na Ostrove";2010-01-01;
555606;93032;"Blatná na Ostrove";2010-01-01;
507822;90082;"Blatné pri Senci";2010-01-01;
522333;07244;"Blatné Remety";2010-01-01;
522341;07244;"Blatné Remety";2010-01-01;
522384;07244;"Blatné Remety";2010-01-01;
512079;03815;"Blatnica pri Martine";2010-01-01;
512346;03815;"Blatnica pri Martine";2010-01-01;
514543;98032;Blhovce;2010-01-01;
515060;98032;Blhovce;2010-01-01;
505854;91325;Bobot;2010-01-01;
509582;02942;Bobrov;2010-01-01;
510319;03221;Bobrovec;2010-01-01;
510327;03221;Bobrovec;2010-01-01;
510513;03221;Bobrovec;2010-01-01;
510688;03221;Bobrovec;2010-01-01;
510921;03221;Bobrovec;2010-01-01;
511072;03221;Bobrovec;2010-01-01;
501042;94616;Bodza;2010-01-01;
580911;94616;Bodza;2010-01-01;
506796;91909;"Bohdanovce nad Trnavou";2010-01-01;
556670;91909;"Bohdanovce nad Trnavou";2010-01-01;
521191;04416;"Bohdanovce pri Košiciach";2010-01-01;
521205;04416;"Bohdanovce pri Košiciach";2010-01-01;
521744;04416;"Bohdanovce pri Košiciach";2010-01-01;
521906;04416;"Bohdanovce pri Košiciach";2010-01-01;
522201;04416;"Bohdanovce pri Košiciach";2010-01-01;
505021;95601;Bojná;2010-01-01;
505676;95601;Bojná;2010-01-01;
542709;95601;Bojná;2010-01-01;
542717;95601;Bojná;2010-01-01;
513903;97201;Bojnice;2010-01-01;
514390;97201;Bojnice;2010-01-01;
506800;92055;Bojničky;2010-01-01;
528161;07653;Boľ;2010-01-01;
543764;07653;Boľ;2010-01-01;
543977;07653;Boľ;2010-01-01;
506818;91908;Boleráz;2010-01-01;
512885;01853;Bolešov;2010-01-01;
557391;01853;Bolešov;2010-01-01;
507831;90032;"Borinka pri Bratislave";2010-01-01;
506834;92209;Borovce;2010-01-01;
504211;90877;"Borský Mikuláš";2010-01-01;
504238;90877;"Borský Mikuláš";2010-01-01;
504220;90879;"Borský Svätý Jur";2010-01-01;
528129;07632;Borša;2010-01-01;
528170;07632;Borša;2010-01-01;
528269;07632;Borša;2010-01-01;
505871;91307;Bošáca;2010-01-01;
506583;91307;Bošáca;2010-01-01;
556424;91307;Bošáca;2010-01-01;
556441;91307;Bošáca;2010-01-01;
542733;95618;Bošany;2010-01-01;
522295;07205;Bracovce;2010-01-01;
522368;07205;Bracovce;2010-01-01;
522414;07205;Bracovce;2010-01-01;
522571;07205;Bracovce;2010-01-01;
522732;07205;Bracovce;2010-01-01;
500071;95113;Branč;2010-01-01;
528595;81101;"Bratislava 1";2010-01-01;
528595;81102;"Bratislava 1";2010-01-01;
528595;81103;"Bratislava 1";2010-01-01;
528595;81104;"Bratislava 1";2010-01-01;
528595;81105;"Bratislava 1";2010-01-01;
528595;81106;"Bratislava 1";2010-01-01;
528595;81107;"Bratislava 1";2010-01-01;
528595;81108;"Bratislava 1";2010-01-01;
528595;81109;"Bratislava 1";2010-01-01;
529311;82106;"Bratislava 214";2010-01-01;
529338;82107;"Bratislava 214";2010-01-01;
529320;82101;"Bratislava 3";2010-01-01;
529320;82102;"Bratislava 3";2010-01-01;
529320;82103;"Bratislava 3";2010-01-01;
529320;82104;"Bratislava 3";2010-01-01;
529320;82105;"Bratislava 3";2010-01-01;
529320;82108;"Bratislava 3";2010-01-01;
529320;82109;"Bratislava 3";2010-01-01;
529354;83000;"Bratislava 3";2010-01-01;
529346;83102;"Bratislava 3";2010-01-01;
529346;83103;"Bratislava 3";2010-01-01;
529346;83104;"Bratislava 3";2010-01-01;
529354;83005;"Bratislava 35";2010-01-01;
529354;83106;"Bratislava 35";2010-01-01;
529354;83151;"Bratislava 35";2010-01-01;
529354;83152;"Bratislava 35";2010-01-01;
529354;83153;"Bratislava 35";2010-01-01;
