kód;"ISO 3166-1";"ISO 3166-2";názov;eu;"platné od";"platné do"
404;KE;KEN;"Kenská republika";0;2010-01-01;
417;KG;KGZ;"Kirgizská republika";0;2010-01-01;
296;KI;KIR;"Kiribatská republika";0;2010-01-01;
170;CO;COL;"Kolumbijská republika";0;2010-01-01;
174;KM;COM;"Komorský zväz";0;2010-01-01;
180;CD;COD;"Konžská demokratická republika";0;2010-01-01;
178;CG;COG;"Konžská republika";0;2010-01-01;
408;KP;PRK;"Kórejská ľudovodemokratická republika";0;2010-01-01;
410;KR;KOR;"Kórejská republika";0;2010-01-01;
188;CR;CRI;"Kostarická republika";0;2010-01-01;
192;CU;CUB;"Kubánska republika";0;2010-01-01;
414;KW;KWT;"Kuvajtský štát";0;2010-01-01;
418;LA;LAO;"Laoská ľudovodemokratická republika";0;2010-01-01;
426;LS;LSO;"Lesothské kráľovstvo";0;2010-01-01;
422;LB;LBN;"Libanonská republika";0;2010-01-01;
430;LR;LBR;"Libérijská republika";0;2010-01-01;
434;LY;LBY;Líbya;0;2013-04-27;
438;LI;LIE;"Lichtenštajnské kniežatstvo";0;2010-01-01;
440;LT;LTU;"Litovská republika";1;2010-01-01;
428;LV;LVA;"Lotyšská republika";1;2010-01-01;
442;LU;LUX;"Luxemburské veľkovojvodstvo";1;2010-01-01;
446;MO;MAC;Macao;0;2010-01-01;
807;MK;MKD;"Macedónska republika";0;2010-01-01;
450;MG;MDG;"Madagaskarská republika";0;2010-01-01;
348;HU;HUN;Maďarsko;1;2010-01-01;
458;MY;MYS;Malajzia;0;2010-01-01;
454;MW;MWI;"Malawijská republika";0;2010-01-01;
462;MV;MDV;"Maldivská republika";0;2010-01-01;
466;ML;MLI;"Malijská republika";0;2010-01-01;
470;MT;MLT;"Maltská republika";1;2010-01-01;
504;MA;MAR;"Marocké kráľovstvo";0;2010-01-01;
474;MQ;MTQ;Martinik;0;2010-01-01;
480;MU;MUS;"Maurícijská republika";0;2010-01-01;
478;MR;MRT;"Mauritánska islamská republika";0;2010-01-01;
175;YT;MYT;Mayotte;0;2010-01-01;
581;UM;UMI;"Menšie odľahlé ostrovy Spojených štátov";0;2010-01-01;
583;FM;FSM;"Mikronézske federatívne štáty";0;2010-01-01;
104;MM;MMR;"Mjanmarská zväzová republika";0;2015-11-30;
498;MD;MDA;"Moldavská republika";0;2010-01-01;
492;MC;MCO;"Monacké kniežatstvo";0;2010-01-01;
496;MN;MNG;Mongolsko;0;2010-01-01;
500;MS;MSR;Montserrat;0;2010-01-01;
508;MZ;MOZ;"Mozambická republika";0;2010-01-01;
516;NA;NAM;"Namíbijská republika";0;2010-01-01;
520;NR;NRU;"Nauruská republika";0;2010-01-01;
276;DE;DEU;"Nemecká spolková republika";1;2010-01-01;
524;NP;NPL;"Nepálská federatívna demokratická republika";0;2015-11-30;
898;;;Nešpecifikované;0;2010-01-01;
998;;;"Nešpecifikované v súvislosti s osobami bez štátnej príslušnosti";0;2012-01-01;
566;NG;NGA;"Nigérijská federatívna republika";0;2010-01-01;
562;NE;NER;"Nigerská republika";0;2010-01-01;
558;NI;NIC;"Nikaragujská republika";0;2010-01-01;
570;NU;NIU;Niue;0;2010-01-01;
578;NO;NOR;"Nórske kráľovstvo";0;2010-01-01;
540;NC;NCL;"Nová Kaledónia";0;2010-01-01;
554;NZ;NZL;"Nový Zéland";0;2010-01-01;
896;;;"Oblasti inde nešpecifikované";0;2010-01-01;
512;OM;OMN;"Ománsky sultanát";0;2010-01-01;
833;IM;IMN;"Ostrov Man, korunná dependencia";0;2015-11-30;
796;TC;TCA;"Ostrovy Turks a Caicos";0;2010-01-01;
586;PK;PAK;"Pakistanská islamská republika";0;2010-01-01;
585;PW;PLW;"Palauská republika";0;2010-01-01;
275;PS;PSE;"Palestínska národná samospráva";0;2015-11-30;
591;PA;PAN;"Panamská republika";0;2010-01-01;
850;VI;VIR;"Panenské ostrovy Spojených štátov";0;2010-01-01;
598;PG;PNG;"Papua-Nová Guinea";0;2015-11-30;
600;PY;PRY;"Paraguajská republika";0;2010-01-01;
604;PE;PER;"Peruánska republika";0;2010-01-01;
612;PN;PCN;"Pitcairnove ostrovy";0;2010-01-01;
616;PL;POL;"Poľská republika";1;2010-01-01;
630;PR;PRI;"Portorické spoločenstvo";0;2010-01-01;
620;PT;PRT;"Portugalská republika";1;2010-01-01;
040;AT;AUT;"Rakúska republika";1;2010-01-01;
584;MH;MHL;"Republika Marshallových ostrovov";0;2010-01-01;
384;CI;CIV;"Republika Pobrežia slonoviny";0;2010-01-01;
226;GQ;GNQ;"Republika Rovníkovej Guiney";0;2010-01-01;
780;TT;TTO;"Republika Trinidadu a Tobaga";0;2010-01-01;
638;RE;REU;Réunion;0;2010-01-01;
642;RO;ROU;Rumunsko;1;2010-01-01;
643;RU;RUS;"Ruská federácia";0;2010-01-01;
646;RW;RWA;"Rwandská republika";0;2010-01-01;
