St. šk.,Obec,Stredná škola,Ulica
652512,Žilina,Stredná odborná škola sv. Jozefa Robotníka,Saleziánska 18
158623,Žilina,Hotelová akadémia,Hlinská 31
37804324,Žilina,Súkromné gymnázium,Oravská 11
160776,Rajec,Gymnázium,Javorová 5
710261551,Banská Bystrica,Spojená škola-Stredná odborná škola stavebná,Kremnička 10
710261560,Banská Bystrica,Spojená škola-Stredná odborná škola podnikania,Školská 7
607053,Banská Bystrica,Stredná zdravotnícka škola,J. G. Tajovského 24
710230133,Banská Bystrica,Spojená škola-Stredná priemyselná škola stavebná,Kremnička 10
710170327,Banská Bystrica,Spojená škola-Stredná odborná škola elektrotechnická,Zvolenská cesta 18
45017000,Banská Bystrica,Stredná odborná škola,Pod Bánošom 80
158496,Banská Bystrica,Stredná odborná škola hotelových služieb a obchodu,Školská 5
17059887,Banská Bystrica,Konzervatórium Jána Levoslava Bellu,Skuteckého 27
162027,Banská Bystrica,Obchodná akadémia,J. G. Tajovského 25
161471,Banská Bystrica,Stredná priemyselná škola Jozefa Murgaša,Hurbanova 6
30232171,Banská Bystrica,Evanjelické gymnázium,Skuteckého 5
516554,Banská Bystrica,Stredná športová škola,Trieda SNP 54
42011701,Banská Bystrica,Súkromné gymnázium Banskobystrické,Ružová ulica 15574/15B
30232503,Banská Bystrica,Katolícke gymnázium Štefana Moysesa,Hurbanova 9
626317,Banská Bystrica,Gymnázium Mikuláša Kováča,Mládežnícka 51
396869,Banská Bystrica,Gymnázium Jozefa Gregora Tajovského,J. G. Tajovského 25
160521,Banská Bystrica,Gymnázium Andreja Sládkoviča,J. A.  Komenského 18
17055431,Banská Bystrica,Stredná odborná škola informačných technológií,J. G. Tajovského 30
710170335,Banská Bystrica,Spojená škola-Stredná odborná škola automobilová,Školská 7
42317657,Brezno,Stredná odborná škola techniky a služieb,Laskomerského 3
42004802,Brezno,Súkromná stredná odborná škola pedagogická EBG,Školská 5
162035,Brezno,Hotelová akadémia,Malinovského 1
35652454,Brezno,Obchodná akadémia,Malinovského 1
160547,Brezno,Gymnázium Jána Chalupku,Štúrova 13
710275200,Podbrezová,Spojená škola súkromná Železiarne Podbrezová-Súkromné gymnázium Železiarne Podbrezová,Družby 554/64
710275196,Podbrezová,Spojená škola súkromná Železiarne Podbrezová-Súkromná stredná odborná škola hutnícka Železiarne Podbrezová,Družby 554/64
160580,Fiľakovo,Gymnázium,Nám. padlých hrdinov 2
37890069,Fiľakovo,Stredná odborná škola,J. Kalinčiaka 1584/8
37890221,Lučenec,Stredná odborná škola hotelových služieb a dopravy,Zvolenská cesta 83
45024065,Lučenec,Súkromné gymnázium,Gemerská cesta 1
607029,Lučenec,Stredná zdravotnícka škola,Lúčna 2
162809,Lučenec,Stredná odborná škola pedagogická,Komenského 12
162060,Lučenec,Obchodná akadémia,Lúčna 4
161560,Lučenec,Stredná priemyselná škola stavebná Oskara Winklera,B. Němcovej 1
160687,Lučenec,Gymnázium Boženy Slančíkovej Timravy,Haličská cesta 9
893307,Lučenec,Stredná odborná škola technická,Dukelských hrdinov 2
710261500,Poltár,Spojená škola-Stredná odborná škola,Železničná 5
52375277,Nováky,Stredná odborná škola,Rastislavova 332
42024471,Handlová,Stredná odborná škola,Lipová 8
52164284,Prievidza,Stredná zdravotnícka škola,Vinohradnícka 8
710262116,Prievidza,Spojená škola piaristická Františka Hanáka-Gymnázium,A. Hlinku 44
42378699,Prievidza,Súkromná obchodná akadémia,Bakalárska 2
710227825,Prievidza,Spojená škola piaristická Františka Hanáka-Stredná odborná škola,A. Hlinku 44
42026407,Prievidza,Stredná odborná škola,T. Vansovej 32
162094,Prievidza,Obchodná akadémia,F. Madvu 2
160750,Prievidza,Gymnázium Vavrinca Benedikta Nedožerského,Matice slovenskej 16
158577,Prievidza,Stredná odborná škola obchodu a služieb,Nábrežie J. Kalinčiaka 1
42395933,Hnúšťa,Súkromná stredná odborná škola,Francisciho 372
160610,Hnúšťa,Gymnázium Mateja Hrebendu,Hlavná 431
37956230,Hnúšťa,Stredná odborná škola,Hlavná 425
710280955,Rimavská Sobota,Spojená škola Reformovanej kresťanskej cirkvi-Gymnázium Mihálya Tompu Reformovanej kresťanskej cirkvi s vyučovacím jazykom maďarským,Daxnerova 42
42317665,Rimavská Sobota,Stredná odborná škola technická a agropotravinárska,Okružná 61
42395968,Rimavská Sobota,Súkromná stredná odborná škola,L. Novomeského 2070
42394732,Rimavská Sobota,Súkromné hudobné a dramatické konzervatórium,Školská 31
42195438,Rimavská Sobota,Stredná odborná škola obchodu a služieb,Športová 1
162108,Rimavská Sobota,Obchodná akadémia,K. Mikszátha 1
160784,Rimavská Sobota,Gymnázium Ivana Kraska,P. Hostinského 3
161632,Tisovec,Stredná odborná škola,Jesenského 903
30231621,Tisovec,Evanjelické gymnázium,Jesenského 836
894818,Tornaľa,Stredná odborná škola,Šafárikova 56
710261489,Modrý Kameň,Spojená škola-Obchodná akadémia,Jarmočná 1
710220871,Modrý Kameň,Spojená škola-Stredná odborná škola obchodu a služieb,Jarmočná 1
160709,Veľký Krtíš,Gymnázium Augusta Horislava Škultétyho,Školská 21
37890051,Veľký Krtíš,Stredná odborná škola,Poľná 10
37890191,Želovce,Stredná odborná škola,Gottwaldova 70/43
710261527,Detva,Spojená škola-Obchodná akadémia,Štúrova 848
710220898,Detva,Spojená škola-Stredná odborná škola,Štúrova 848
17058554,Detva,Gymnázium,Štúrova 849
160644,Krupina,Gymnázium Andreja Sládkoviča,M. R. Štefánika 8
159352,Krupina,Stredná odborná škola obchodu a služieb,M. R. Štefánika 8
42299977,Zvolen,Súkromná škola umeleckého priemyslu (PinkHarmony),J. Jesenského 42
42317568,Zvolen,Súkromná škola umeleckého priemyslu,Môťovská cesta 8164
45024731,Zvolen,Súkromná stredná odborná škola podnikania,Nám. mládeže 587/17
45015171,Zvolen,Stredná odborná škola technická,J. Švermu 1
37956469,Zvolen,Stredná odborná škola drevárska,Lučenecká 2193/17
37890115,Zvolen,Stredná odborná škola hotelových služieb a obchodu,Jabloňová 1351
42012376,Zvolen,Súkromné konzervatórium,J. Jesenského 42
42002907,Zvolen,Súkromná stredná športová škola,J. Jesenského 42
606995,Zvolen,Stredná zdravotnícka škola,J. Kozáčeka 4
215589,Zvolen,Stredná priemyselná škola dopravná,Sokolská 911/94
160865,Zvolen,Gymnázium Ľudovíta Štúra,Hronská 1467/3
53006020,Banská Štiavnica,Škola umeleckého priemyslu,Akademická 13
710273584,Banská Štiavnica,Spojená škola katolícka sv. Františka Assiského-Stredná odborná škola sv. Františka Assiského,Gwerkovej-Göllnerovej 9
53779517,Banská Štiavnica,Súkromná hotelová akadémia,Drieňová 12
42317673,Banská Štiavnica,Stredná odborná škola služieb a lesníctva,Kolpašská 1586/9
162710,Banská Štiavnica,Stredná odborná škola lesnícka,Akademická 16
161667,Banská Štiavnica,Stredná priemyselná škola Samuela Mikovíniho,Akademická 13
160539,Banská Štiavnica,Gymnázium Andreja Kmeťa,Kolpašská 1738/9
42003784,Hodruša-Hámre,Súkromná škola umeleckého priemyslu,Kyslá 214
37956124,Nová Baňa,Stredná odborná škola obchodu a služieb,Osvety 17
160725,Nová Baňa,Gymnázium Františka Švantnera,Bernolákova 9
891461,Hliník nad Hronom,Súkromná stredná odborná škola,Kopaničná 237
163082,Kremnica,Stredná odborná škola pre žiakov so sluchovým postihnutím internátna,Kutnohorská 675/20
45024006,Kremnica,Súkromné gymnázium,Dolná 48/19
710143007,Kremnica,Gymnázium pre žiakov so sluchovým postihnutím internátne,Kutnohorská 675/20
161683,Kremnica,Súkromná škola umeleckého priemyslu,P. Križku 390/4
160636,Kremnica,Súkromné gymnázium,P. Križku 390/4
