St. šk.,Obec,Stredná škola,Ulica
161187,Sobrance,Gymnázium,Kpt. Nálepku 6
37890182,Revúca,Stredná odborná škola,Gen. Viesta 6
161136,Revúca,Gymnázium Martina Kukučína,V. Clementisa 1166/21
37998676,Revúca,Súkromná stredná odborná škola,Železničná 2
37922866,Trenčianske Teplice,Súkromná stredná športová škola,Sídlisko SNP 6
42152411,Trenčín,Súkromné gymnázium FUTURUM,Školská 66
161438,Trenčín,Škola umeleckého priemyslu,Staničná 8
17055202,Trenčín,Stredná odborná škola dopravná,Školská 66
37922467,Trenčín,Stredná priemyselná škola stavebná Emila Belluša,Staničná 4
42019427,Trenčín,Súkromná stredná odborná škola,Zlatovská cesta 35
607363,Trenčín,Stredná zdravotnícka škola Celestíny Šimurkovej,Veľkomoravská 14
161993,Trenčín,Obchodná akadémia Milana Hodžu,Martina Rázusa 1
515159,Trenčín,Stredná športová škola,Kožušnícka 71/2
588024,Trenčín,Piaristické gymnázium Jozefa Braneckého,Palackého 4
160458,Trenčín,Gymnázium Ľudovíta Štúra,1. mája 170/2
42014891,Trenčín,Stredná odborná škola pedagogická sv. Andreja-Svorada a Benedikta,1. mája 7
17638593,Trenčín,Stredná odborná škola letecko-technická,Legionárska 160
17053668,Trenčín,Stredná odborná škola,Pod Sokolicami 14
351806,Trenčín,Stredná odborná škola obchodu a služieb,Jilemnického 24
52617726,Hlohovec,Škola umeleckého priemyslu,Nerudova 13
17053811,Hlohovec,Stredná odborná škola chemická,Nerudova 13
17050324,Hlohovec,Stredná odborná škola technická,F. Lipku 2422/5
160164,Hlohovec,Gymnázium Ivana Kupca,Komenského 13
710277725,Piešťany,Spojená škola-Stredná odborná škola záhradnícka,Brezová 2
891568,Piešťany,Stredná odborná škola technická,Nová 5245/9
160318,Piešťany,Gymnázium Pierra de Coubertina,Nám. SNP 9
654302,Piešťany,Stredná odborná škola obchodu a služieb,Mojmírova 99/28
162019,Piešťany,Hotelová akadémia Ľudovíta Wintera,Stromová 34
161454,Piešťany,Stredná priemyselná škola elektrotechnická,Brezová 2
710277717,Rakovice,Spojená škola-Stredná odborná škola regionálneho rozvoja,Rakovice 25
36092479,Vrbové,Gymnázium Jána Baltazára Magina,Beňovského 358/100
159557,Pribeník,Stredná odborná škola  agrotechnických a gastronomických služieb,J. Majlátha 2
710260806,Sečovce,Spojená škola-Stredná odborná škola techniky a služieb,Kollárova 17
710173539,Sečovce,Spojená škola-Gymnázium,Kollárova 17
36087947,Senica,Súkromná stredná odborná škola podnikania,Hollého 1380
160342,Senica,Gymnázium Ladislava Novomeského,Dlhá 1037/12
400220,Senica,Obchodná akadémia,Dlhá 256/10
351997,Senica,Stredná odborná škola podnikania v remeslách a službách,V. P. Tótha 31
53966864,Dobšiná,Stredná odborná škola techniky a služieb,SNP 607
710230524,Rožňava,Spojená škola-Stredná odborná škola s vyučovacím jazykom maďarským,J. A. Komenského 5
606812,Rožňava,Stredná zdravotnícka škola,Nám. 1. mája 1
617652,Rožňava,Stredná odborná škola obchodu a služieb,Rožňavská Baňa 211
161144,Rožňava,Gymnázium Pavla Jozefa Šafárika,Akademika Hronca 1
17050545,Rožňava,Stredná odborná škola technická,Hviezdoslavova 5
162205,Rožňava,Obchodná akadémia,Akademika Hronca 8
160938,Gelnica,Gymnázium,SNP 1
35568348,Prakovce,Stredná odborná škola techniky a služieb,Prakovce 282
710260865,Krompachy,Spojená škola súkromná EDURAM-Súkromná stredná odborná škola EDURAM,Maurerova 55
161021,Krompachy,Gymnázium,Lorencova 46
710261357,Levoča,Spojená škola internátna-Stredná odborná škola ekonomiky a služieb pre žiakov so zrakovým postihnutím internátna,Nám. Štefana Kluberta 1
161039,Levoča,Gymnázium Janka Francisciho-Rimavského,Kláštorská 37
17082447,Levoča,Gymnázium sv. Františka Assiského,Kláštorská 24
159514,Levoča,Stredná odborná škola služieb Majstra Pavla,Kukučínova 9
37937731,Levoča,Stredná zdravotnícka škola Štefana Kluberta,Kláštorská 24A
162833,Levoča,Stredná odborná škola pedagogická,Bottova 15A
17050456,Gbely,Stredná odborná škola elektrotechnická,Učňovská 700/6
710277768,Holíč,Spojená škola-Stredná odborná škola technická Jozefa Čabelku,Nám. sv. Martina 5
710277750,Holíč,Spojená škola-Stredná odborná škola dopravy a služieb,Nám. sv. Martina 5
36088978,Skalica,Súkromná stredná odborná škola VIA HUMANA,Mallého 2
160369,Skalica,Gymnázium Františka Víťazoslava Sasinka,Nám. slobody 3
607347,Skalica,Stredná zdravotnícka škola,Lichardova 1
893137,Skalica,Stredná odborná škola strojnícka,Pplk. Pľjušťa 29
710221800,Nové Mesto nad Váhom,Spojená škola sv. Jozefa-Gymnázium sv. Jozefa,Klčové 87
37918869,Nové Mesto nad Váhom,Bilingválne slovensko-španielske gymnázium,Štúrova ulica 2590/31A
161403,Nové Mesto nad Váhom,Stredná priemyselná škola,Bzinská 11
160270,Nové Mesto nad Váhom,Gymnázium M. R. Štefánika,Športová 41
893111,Nové Mesto nad Váhom,Stredná odborná škola obchodu a služieb,Piešťanská 2262/80
893188,Stará Turá,Stredná odborná škola,Športová 675
42104980,Strážske,Stredná odborná škola dopravy a služieb,Mierová 727
710261870,Šaľa,Spojená škola-Stredná priemyselná škola elektrotechnická,Nivy 2
710201354,Šaľa,Spojená škola-Obchodná akadémia,Nivy 2
399850,Šaľa,Gymnázium Juraja Fándlyho,Školská 3
159000,Šaľa,Stredná odborná škola chovu koní a služieb,Štúrova 74
710201362,Šaľa,Spojená škola-Stredná odborná škola technická,Nivy 2
596680,Myjava,Gymnázium,Jablonská 301/5
161381,Myjava,Stredná priemyselná škola,SNP 413/8
17050308,Tlmače,Stredná odborná škola technická,Kozmálovská cesta 9
710261411,Bardejov,Spojená škola Juraja Henischa-Gymnázium,Slovenská 5
710261446,Bardejov,Spojená škola-Stredná odborná škola obchodu a služieb,Štefánikova 64
710234341,Bardejov,Spojená škola cirkevná-Gymnázium sv. Jána Bosca,Jiráskova 5
160911,Bardejov,Gymnázium Leonarda Stöckela,Jiráskova 12
37939076,Bardejov,Súkromné gymnázium DSA,Nám. arm. gen. L. Svobodu 16
686981,Bardejov,Súkromná stredná odborná škola,Hviezdoslavova 11
710215886,Bardejov,Spojená škola-Stredná odborná škola remesiel,Štefánikova 64
710212585,Bardejov,Spojená škola Juraja Henischa-Stredná odborná škola polytechnická,Slovenská 5
36155993,Bardejov,"Stredná odborná škola ekonomiky, hotelierstva a služieb Jána Andraščíka",Pod Vinbargom 3
161705,Bardejov,Stredná priemyselná škola technická,Komenského 5
710275250,Giraltovce,Spojená škola-Gymnázium,Dukelská 26/30
686506,Giraltovce,Súkromná stredná odborná škola,Dukelská 33
710261390,Humenné,Spojená škola cirkevná-Gymnázium sv. Cyrila a Metoda,Duchnovičova 24
42422132,Humenné,Súkromná stredná odborná škola pedagogická EBG,Lesná 909/28
36161667,Humenné,Gymnázium sv. Jána Zlatoústeho,Lesná 28
160954,Humenné,Gymnázium arm. gen. Ludvíka Svobodu,Komenského 4
617750,Humenné,Stredná odborná škola obchodu a služieb,Mierová 1973/79
37942484,Humenné,Stredná odborná škola technická,Družstevná 1474/19
606740,Humenné,Stredná zdravotnícka škola,Lipová 32
162132,Humenné,Obchodná akadémia,Komenského 1
17078393,Humenné,Hotelová akadémia,Štefánikova 28
893358,Humenné,Stredná odborná škola polytechnická,Štefánikova 1550/20
710280874,Medzilaborce,Spojená škola-Stredná odborná škola polytechnická Andyho Warhola,Duchnovičova 506
710280866,Medzilaborce,Spojená škola-Gymnázium,Duchnovičova 13
35568381,Spišská Nová Ves,Stredná odborná škola ekonomická,Stojan 1
35565136,Spišská Nová Ves,Cirkevné gymnázium Štefana Mišíka,Radničné námestie 271/8
42096642,Spišská Nová Ves,Stredná odborná škola drevárska,Filinského 7
521663,Spišská Nová Ves,Stredná priemyselná škola technická,Hviezdoslavova 6
17151589,Spišská Nová Ves,Gymnázium,Javorová 16
161195,Spišská Nová Ves,Gymnázium,Školská 7
17078504,Spišská Nová Ves,Hotelová akadémia,Radničné námestie 1
17078491,Spišská Nová Ves,Stredná odborná škola techniky a služieb,Markušovská cesta 4
35568330,Kráľovský Chlmec,Stredná odborná škola techniky a remesiel,Rákocziho 23
161012,Kráľovský Chlmec,Gymnázium,Horešská 18
710277083,Trnava,Spojená škola-Gymnázium,Jána Bottu 31
710277075,Trnava,Spojená škola-Stredná športová škola Jozefa Herdu,Jána Bottu 31
42297605,Trnava,Súkromné bilingválne gymnázium BESST,Limbová 6051/3
36082058,Trnava,Stredná priemyselná škola technická,Komenského 1
893412,Trnava,Stredná odborná škola obchodu a služieb,Lomonosovova 2797/6
37849948,Trnava,Súkromné tanečné konzervatórium Dušana Nebylu,Kalinčiakova 47
686484,Trnava,Súkromná stredná odborná škola Gos-Sk,Ferka Urbánka 19
36094625,Trnava,Arcibiskupské gymnázium biskupa P. Jantauscha,Jána Hollého 9
160466,Trnava,Gymnázium Jána Hollého,Na hlinách 7279/30
607371,Trnava,Stredná zdravotnícka škola,Daxnerova 6
31825451,Trnava,Stredná odborná škola pedagogická blahoslavenej Laury,Jána Hollého 9
162451,Trnava,Stredná odborná škola poľnohospodárstva a služieb na vidieku,Zavarská 9
162001,Trnava,Obchodná akadémia,Kukučínova 2
399817,Trnava,Stredná priemyselná škola stavebná Dušana Samuela Jurkoviča,Lomonosovova 7
491861,Trnava,Stredná priemyselná škola dopravná,Študentská 23
588032,Trnava,Gymnázium Angely Merici,Hviezdoslavova 10
17055385,Trnava,Stredná odborná škola elektrotechnická,Sibírska 1
17055237,Trnava,Súkromná stredná odborná škola DSA,Koniarekova 17
17053676,Trnava,Stredná odborná škola automobilová,Coburgova 7859/39
42410134,Trebišov,Súkromná stredná odborná škola,29. augusta 2340/38A
35555912,Trebišov,Stredná odborná škola služieb a priemyslu sv. Jozafáta,Komenského 1963/10
162213,Trebišov,Obchodná akadémia,Komenského 3425/18
162663,Trebišov,Súkromná stredná odborná škola DSA,Komenského 12
31986072,Trebišov,Cirkevné gymnázium sv. Jána Krstiteľa,M. R. Štefánika 9
161241,Trebišov,Gymnázium,Komenského 32
161250,Veľké Kapušany,Gymnázium,Zoltána Fábryho 1
17055393,Veľké Kapušany,Stredná odborná škola techniky a služieb,Janka Kráľa 25
160504,Želiezovce,Gymnázium Jána Amosa Komenského,Štúrova 1205/16
37858131,Dolné Obdokovce,Súkromná stredná odborná škola s vyučovacím jazykom maďarským,Dolné Obdokovce 71
710271948,Nitra,Spojená škola-Gymnázium,Slančíkovej 2
710261985,Nitra,Spojená škola piaristická sv. Jozefa Kalazanského-Piaristické gymnázium sv. Jozefa Kalazanského,Piaristická 6
710261977,Nitra,Spojená škola katolícka-Gymnázium sv. Cyrila a Metoda,Farská 19
710261950,Nitra,Spojená škola-Stredná priemyselná škola potravinárska,Slančíkovej 2
17054222,Nitra,Stredná odborná škola potravinárska,Cabajská 6
42124956,Nitra,Súkromná škola umeleckého priemyslu,Samova 14
710175426,Nitra,Spojená škola-Hotelová akadémia,Slančíkovej 2
42114985,Nitra,Súkromná stredná odborná škola polytechnická DSA,Novozámocká 220
607321,Nitra,Stredná zdravotnícka škola,Farská 23
162370,Nitra,Stredná odborná škola veterinárna,Drážovská 8/14
161942,Nitra,Obchodná akadémia,Bolečkova 2
161373,Nitra,Stredná priemyselná škola stavebná,Cabajská 4
17050073,Nitra,Stredná priemyselná škola strojnícka a elektrotechnická,Fraňa Kráľa 20
710175434,Nitra,Spojená škola-Stredná športová škola,Slančíkovej 2
37857134,Nitra,Súkromné konzervatórium,Krčméryho 2
37854950,Nitra,Súkromná stredná odborná škola ANIMUS,Levická cesta 40
596868,Nitra,Stredná odborná škola techniky a služieb,Cintorínska 4
596876,Nitra,Stredná odborná škola gastronómie a cestovného ruchu,Levická 40
893293,Nitra,Stredná odborná škola stavebná,Nábrežie mládeže 1
160253,Nitra,Gymnázium,Párovská 1
160261,Nitra,Gymnázium,Golianova 68
500780,Vráble,Gymnázium,Školská 26
891550,Vráble,Stredná odborná škola technická,1. mája 500
34005153,Zlaté Moravce,Obchodná akadémia,Bernolákova 26
160482,Zlaté Moravce,Gymnázium Janka Kráľa,SNP 3
893498,Zlaté Moravce,Stredná odborná škola obchodu a služieb,SNP 5
159093,Zlaté Moravce,Stredná odborná škola polytechnická,SNP 2
893129,Zlaté Moravce,Stredná odborná škola technická,1. mája 22
710261926,Nové Zámky,Spojená škola-Stredná priemyselná škola elektrotechnická S. A. Jedlika,Komárňanská 28
710175442,Nové Zámky,Spojená škola-Obchodná akadémia,Komárňanská 28
37965352,Nové Zámky,Gymnázium Petra Pázmáňa s vyučovacím jazykom maďarským,Letomostie 3
607339,Nové Zámky,Stredná zdravotnícka škola,Pod kalváriou 1
893421,Nové Zámky,Stredná odborná škola stavebná,Nitrianska cesta 61
891606,Nové Zámky,Stredná odborná škola hotelových služieb a obchodu,Zdravotnícka 3
654230,Nové Zámky,Stredná odborná škola dopravy a služieb,Jesenského 1
160288,Nové Zámky,Gymnázium,M. R. Štefánika 16
710261900,Štúrovo,Spojená škola súkromná-Súkromná obchodná akadémia,Svätého Štefana 36
710240392,Štúrovo,Spojená škola súkromná-Súkromná stredná odborná škola,Svätého Štefana 648/36
891908,Štúrovo,"Stredná odborná škola techniky, služieb a obchodu",Svätého Štefana 81
160423,Štúrovo,Gymnázium,Adyho 7
710219440,Snina,Spojená škola cirkevná-Gymnázium sv. Cyrila a Metoda,Švermova 10
161721,Snina,Stredná priemyselná škola,Partizánska 1059
37878247,Snina,Stredná odborná škola,Sládkovičova 2723/120
161179,Snina,Gymnázium,Študentská 4
710266898,Kežmarok,Spojená škola súkromná-Súkromná stredná odborná škola,Biela voda 2
160962,Kežmarok,Gymnázium Pavla Országha Hviezdoslava,Hviezdoslavova 20
159468,Kežmarok,Stredná odborná škola agropotravinárska a technická,Kušnierska brána 349/2
36155667,Kežmarok,Škola umeleckého priemyslu,Slavkovská 19
162175,Kežmarok,Hotelová akadémia Otta Brucknera,MUDr. Alexandra 29
37880012,Kežmarok,Stredná odborná škola,Garbiarska 1
710230346,Spišská Stará Ves,Spojená škola-Gymnázium,SNP 3/5
37946773,Vranov nad Topľou,Stredná odborná škola,A. Dubčeka 963/2
37942492,Vranov nad Topľou,Stredná odborná škola drevárska,Lúčna 1055
710214634,Vranov nad Topľou,Spojená škola cirkevná-Cirkevné gymnázium sv. Františka z Assisi,Školská 650
162230,Vranov nad Topľou,Obchodná akadémia,Dr. C. Daxnera 88
161268,Vranov nad Topľou,Gymnázium Cyrila Daxnera,Dr. C. Daxnera 88/3
44717,Hurbanovo,Stredná priemyselná škola stavebná,Konkolyho 8
159026,Hurbanovo,Stredná odborná škola techniky a mechanizácie,1. mája 1
52829871,Kolárovo,Súkromná škola umeleckého priemyslu s vyučovacím jazykom maďarským,Slovenská 52
37966081,Kolárovo,Súkromná stredná odborná škola s vyučovacím jazykom maďarským,Slovenská 52
42120420,Topoľčany,Súkromné konzervatórium Dezidera Kardoša,Gagarinova 2490/13
42120411,Topoľčany,Súkromná škola umeleckého priemyslu,Gagarinova 2490/13
607355,Topoľčany,Stredná zdravotnícka škola sv. Vincenta de Paul,17. novembra 1056
159841,Topoľčany,Obchodná akadémia,Inovecká 2041
160440,Topoľčany,Gymnázium,17. novembra 1180/16
37853899,Topoľčany,Súkromná stredná odborná škola pedagogická,Gagarinova 2490/13
17054249,Topoľčany,Stredná odborná škola potravinárska,Krušovská 2091
893480,Topoľčany,Stredná odborná škola obchodu a služieb,T. Vansovej 2
398411,Topoľčany,Stredná odborná škola agrotechnická,Tovarnícka 1632
891860,Topoľčany,Stredná odborná škola drevárska,Pílska 7
351989,Topoľčany,Stredná odborná škola techniky a služieb,Tovarnícka 1609
710262043,Komárno,Cirkevné gymnázium Marianum s vyučovacím jazykom maďarským,Biskupa Királya 30
161357,Komárno,Stredná priemyselná škola strojnícka a elektrotechnická,Petőfiho 2
891592,Komárno,Stredná odborná škola technická,Bratislavská cesta 10
352233,Komárno,Stredná odborná škola obchodu a služieb,Budovateľská 32
399965,Komárno,Gymnázium Hansa Selyeho s vyučovacím jazykom maďarským,Biskupa Királya 5
160199,Komárno,Gymnázium Ľudovíta Jaroslava Šuleka,Pohraničná 10
42428289,Bátorove Kosihy,Súkromná stredná odborná škola obchodu a služieb s vyučovacím jazykom maďarským,Hlavné námestie 35
159042,Kravany nad Dunajom,"Stredná odborná škola obchodu, služieb a rozvoja vidieka",Dunajský rad 138
710262019,Levice,Spojená škola katolícka sv. Vincenta de Paul-Gymnázium sv. Vincenta de Paul,Saratovská 87
162795,Levice,Stredná odborná škola pedagogická,F. Engelsa 3
162353,Levice,Stredná odborná škola poľnohospodárstva a služieb na vidieku,Na lúkach 18
161934,Levice,Obchodná akadémia,Kálmána Kittenbergera 2
420191,Levice,Stredná priemyselná škola strojnícka a elektrotechnická,F. Hečku 25
893315,Levice,Stredná odborná škola techniky a služieb,Pod amfiteátrom 7
17053889,Levice,Škola umeleckého priemyslu Ladislava Bielika,Vajanského 23
352098,Levice,Stredná odborná škola služieb,Sv. Michala 36
160211,Levice,Gymnázium Andreja Vrábla,Mierová 5
710261993,Šahy,Spojená škola katolícka-Cirkevné gymnázium Ferenca Fegyvernekiho s vyučovacím jazykom maďarským,SNP 4
17050111,Šahy,Gymnázium Juraja Szondyho s vyučovacím jazykom maďarským,Mládežnícka 22
47147,Šahy,Gymnázium,Mládežnícka 22
399388,Šahy,Stredná odborná škola techniky a služieb,SNP 41
52439534,Poprad,Stredná športová škola,Francisciho 910/8
710273088,Poprad,Spojená škola-Súkromné gymnázium,Rovná 597/15
710261306,Poprad,Spojená škola sv. Jána Pavla II.-Gymnázium sv. Jána Pavla II.,Dlhé hony 3522/2
710261322,Poprad,Spojená škola-Gymnázium,Dominika Tatarku 4666/7
161098,Poprad,Gymnázium,Kukučínova 4239/1
893102,Poprad,Stredná odborná škola elektrotechnická,Hlavná 1400/1
686964,Poprad,Súkromná stredná odborná škola,SNP 1253
891541,Poprad,Stredná odborná škola technická,Kukučínova 483/12
42039371,Poprad,Súkromná stredná odborná škola,Ul. 29. augusta 4812
161802,Poprad,Stredná priemyselná škola techniky a dizajnu,Mnoheľova 828
606791,Poprad,Stredná zdravotnícka škola,Levočská 5
42077133,Poprad,Stredná odborná škola remesiel a služieb,Okružná 761/25
162167,Poprad,Obchodná akadémia,Murgašova 94
893552,Vysoké Tatry,Stredná odborná škola hotelová,Horný Smokovec 26
37947541,Svit,Stredná odborná škola polytechnická Jána Antonína Baťu,Štefánikova 39
710267827,Prešov,Spojená škola katolícka sv. Mikuláša-Gymnázium sv. Mikuláša,Duklianska 16
710276249,Prešov,Spojená škola bl. biskupa Gojdiča-Gymnázium bl. biskupa Gojdiča,Bernolákova 21
51896109,Prešov,Stredná odborná škola lesnícka,Kollárova 10
710280890,Prešov,Spojená škola-Stredná odborná škola podnikania,Masarykova 24
710280882,Prešov,Spojená škola-Obchodná akadémia,Masarykova 24
710261284,Prešov,Spojená škola Tarasa Ševčenka-Gymnázium s vyučovacím jazykom ukrajinským,Sládkovičova 4
710261268,Prešov,Spojená škola evanjelická-Evanjelické kolegiálne gymnázium,Nám. legionárov 3
710261195,Prešov,Spojená škola súkromná European English School-Súkromné gymnázium,Solivarská 28
710261225,Prešov,Spojená škola-Gymnázium,Ľ. Podjavorinskej 22
42421560,Prešov,Súkromné konzervatórium Dezidera Kardoša,M. Benku 7
893251,Prešov,Stredná odborná škola technická,Volgogradská 1
710171773,Prešov,Spojená škola-Stredná odborná škola technická,Ľ. Podjavorinskej 22
17078440,Prešov,Stredná odborná škola dopravná,Konštantínova 2
17078466,Prešov,Škola umeleckého priemyslu,Vodárenská 3
17078482,Prešov,Stredná odborná škola gastronómie a služieb,Sídlisko duklianskych hrdinov 3
686514,Prešov,Súkromná stredná odborná škola hotelierstva a gastronómie Mladosť,Pod Kalváriou 36
698288,Prešov,Stredná zdravotnícka škola sv. Bazila Veľkého,Kmeťovo stromoradie 1
606804,Prešov,Stredná zdravotnícka škola,Sládkovičova 36
162825,Prešov,Stredná odborná škola pedagogická,Kmeťovo stromoradie 5
162191,Prešov,Hotelová akadémia,Baštová 32
37870548,Prešov,Súkromná obchodná akadémia,Petrovianska 34
161829,Prešov,Stredná priemyselná škola elektrotechnická,Plzenská 1
161837,Prešov,Stredná priemyselná škola stavebná,Plzenská 10
161845,Prešov,Stredná priemyselná škola strojnícka,Duklianska 1
37880080,Prešov,Stredná odborná škola služieb,Košická 20
37945653,Prešov,Súkromná stredná športová škola ELBA,Smetanova 2
37784722,Prešov,Súkromná stredná odborná škola ELBA,Smetanova 2
710213727,Prešov,Spojená škola Pavla Sabadoša internátna-Stredná odborná škola polytechnická pre žiakov so sluchovým postihnutím internátna,Duklianska 2
31991653,Prešov,Gymnázium sv. Moniky,Tarasa Ševčenka 1
161101,Prešov,Gymnázium Jána Adama Raymana,Mudroňova 20
161110,Prešov,Gymnázium,Konštantínova 2
161047,Lipany,Gymnázium,Komenského 13
159476,Lipany,Stredná odborná škola podnikania a služieb,Komenského 16
710261187,Sabinov,Spojená škola-Stredná odborná škola polytechnická,SNP 16
161152,Sabinov,Súkromné Gymnázium DSA,Komenského 40
710261705,Námestovo,Spojená škola súkromná EDUCO-Súkromná hotelová akadémia,Slanická osada 2178
710217323,Námestovo,Spojená škola súkromná EDUCO-Súkromná obchodná akadémia,Slanická osada 2178
160717,Námestovo,Gymnázium Antona Bernoláka,Ulica mieru 307/23
17053846,Námestovo,Stredná odborná škola podnikania a služieb,Hattalova 968/33
17050502,Námestovo,Stredná odborná škola technická,Komenského 496/37
160822,Trstená,Gymnázium Martina Hattalu,Železničiarov 278
53948998,Tvrdošín,Stredná priemyselná škola informačných technológií Ignáca Gessaya,Medvedzie 133/1
626848,Tvrdošín,Gymnázium,Školská 837
517801,Tvrdošín,Stredná odborná škola lesnícka,Medvedzie 135
42216702,Liptovský Hrádok,Súkromné tanečné konzervatórium,Hradná 340
893170,Liptovský Hrádok,Stredná odborná škola elektrotechnická,J. Kollára 536/1
162701,Liptovský Hrádok,Stredná odborná škola lesnícka a drevárska Jozefa Dekreta Matejovie,Hradná 534
160661,Liptovský Hrádok,Gymnázium,Hradná 23
710261772,Liptovský Mikuláš,Spojená škola evanjelická-Evanjelické gymnázium Juraja Tranovského,Komenského 10
491942,Liptovský Mikuláš,Stredná odborná škola polytechnická,Demänovská cesta 669
607037,Liptovský Mikuláš,Stredná zdravotnícka škola,Vrbická 632
31926754,Liptovský Mikuláš,Obchodná akadémia,Nábrežie K. Petroviča 1571
160679,Liptovský Mikuláš,Gymnázium Michala Miloslava Hodžu,M. M. Hodžu 860/9
893528,Liptovský Mikuláš,Hotelová akadémia,Čs. brigády 1804
695092,Liptovský Mikuláš,Stredná odborná škola stavebná,Školská 8
710261683,Ružomberok,Spojená škola-Stredná odborná škola obchodu a služieb,Scota Viatora 8
42072042,Ružomberok,Súkromné bilingválne gymnázium,Bystrická cesta 174/5
37908057,Ružomberok,Súkromná stredná odborná škola podnikania,Bystrická cesta 174/5
17059844,Ružomberok,Stredná zdravotnícka škola M. T. Schererovej,Dončova 7
30232953,Ružomberok,Obchodná akadémia,Scota Viatora 4
161551,Ružomberok,Škola umeleckého priemyslu,Scota Viatora 6
17060532,Ružomberok,Gymnázium sv. Andreja,Nám. A. Hlinku 5
160792,Ružomberok,Gymnázium,Š. Moyzesa 21
891894,Ružomberok,Stredná odborná škola polytechnická,Sládkovičova ulica 104
710261730,Martin,Spojená škola súkromná-Súkromná škola umeleckého priemyslu,J. Lettricha 3
710261721,Martin,Spojená škola evanjelická-Evanjelické gymnázium,M. R. Štefánika 19
710261748,Martin,Spojená škola-Stredná odborná škola strojnícka,Československej armády 24
710239408,Martin,Spojená škola súkromná-Súkromné hudobné a dramatické konzervatórium,J. Lettricha 3
161578,Martin,Stredná priemyselná škola technická,L. Novomeského 5/24
162078,Martin,Obchodná akadémia,Bernolákova 2
626261,Martin,Gymnázium Jozefa Lettricha,J. Lettricha 2
160695,Martin,Gymnázium Viliama Paulinyho Tótha,Malá hora 3
17055211,Martin,Stredná odborná škola dopravná,Zelená 2
158551,Martin,Stredná odborná škola obchodu a služieb,Stavbárska 11
52915654,Svidník,Škola umeleckého priemyslu,Sovietskych hrdinov 369/24
710261101,Svidník,Spojená škola-Obchodná akadémia,Centrálna 464
893692,Svidník,Stredná odborná škola polytechnická a služieb arm. gen. Ludvíka Svobodu,Bardejovská 715/18
618462,Svidník,Stredná zdravotnícka škola milosrdného Samaritána,Sovietskych hrdinov 80
161233,Svidník,Gymnázium duklianskych hrdinov,Komenského 16
17151481,Podolínec,Stredná odborná škola sv. Klementa Hofbauera,Kláštorná 2
710274645,Stará Ľubovňa,Spojená škola-Stredná odborná škola hotelových služieb a remesiel,Jarmočná 108
710274653,Stará Ľubovňa,Spojená škola-Obchodná akadémia,Jarmočná 132
17050405,Stará Ľubovňa,Stredná odborná škola technická,Levočská 40
37945785,Stará Ľubovňa,Cirkevné gymnázium sv. Mikuláša,Štúrova 383/3
161217,Stará Ľubovňa,Gymnázium Terézie Vansovej,17. novembra 6
42114977,Šurany,Stredná odborná škola gastronómie a služieb,Hviezdoslavova 55
161951,Šurany,Obchodná akadémia,Nám. hrdinov 7
17050138,Šurany,Gymnázium,Bernolákova 37
17050316,Šurany,Stredná odborná škola technická,Nitrianska 61
52089291,Bánovce nad Bebravou,Cirkevná stredná odborná škola sv.Terézie z Lisieux,Farská 5
37922459,Bánovce nad Bebravou,Stredná odborná škola strojnícka,Partizánska cesta 76
17050227,Bánovce nad Bebravou,Gymnázium Janka Jesenského,Radlinského 665/2
50424891,Partizánske,Stredná odborná škola Jána Antonína Baťu,Nám. SNP 5
160296,Partizánske,Gymnázium,Komenského 2/1074
891835,Krásno nad Kysucou,Stredná odborná škola drevárska a stavebná,Krásno nad Kysucou 1642
160849,Turzovka,Gymnázium,Ľ. Štúra 35
17059852,Čadca,Stredná zdravotnícka škola sv. Františka z Assisi,Horná 137
614866,Čadca,Stredná odborná škola pedagogická sv. Márie Goretti,Horná 137
162043,Čadca,Obchodná akadémia Dušana Metoda Janotu,17. novembra 2701
160563,Čadca,Gymnázium Jozefa Miloslava Hurbana,17. novembra 1296
891452,Čadca,Stredná odborná škola technická,Okružná 693
695041,Čadca,Stredná odborná škola obchodu a služieb,Ul. 17. novembra 2579
51906201,Kysucké Nové Mesto,Stredná priemyselná škola informačných technológií,Nábrežná 1325
17053722,Kysucké Nové Mesto,Stredná odborná škola strojnícka,Športová 1326
160652,Kysucké Nové Mesto,Gymnázium,Jesenského 2243
710261802,Dolný Kubín,Spojená škola cirkevná-Cirkevné gymnázium Andreja Radlinského,Okružná 2062/25
42070902,Dolný Kubín,Súkromná stredná odborná škola,SNP 1202/14
891479,Dolný Kubín,Stredná odborná škola polytechnická,Jelšavská 404
607045,Dolný Kubín,Stredná zdravotnícka škola,M. Hattalu 2149
162051,Dolný Kubín,Obchodná akadémia,Radlinského 1725/55
160571,Dolný Kubín,Gymnázium Pavla Országha Hviezdoslava,Hviezdoslavovo nám. 18
158518,Dolný Kubín,Stredná odborná škola obchodu a služieb,Pelhřimovská 1186/10
710261659,Nižná,Spojená škola-Stredná odborná škola technická,Hattalova 471
710216467,Nižná,Spojená škola-Škola umeleckého priemyslu,Hattalova 471
37947915,Stropkov,Stredná odborná škola elektrotechnická,Hviezdoslavova 44
161225,Stropkov,Gymnázium,Konštantínova 1751/64
627844,Sučany,Bilingválne gymnázium Milana Hodžu,Komenského 215
710261756,Vrútky,Spojená škola-Gymnázium Jozefa Cígera Hronského,M. R. Štefánika 1
710221940,Turčianske Teplice,Spojená škola-Gymnázium Mikuláša Galandu,Horné Rakovce 1440/29
